#review	#polarity
저는 여자인데 서울 대학병원에 몇군대 접수하려고 지방에서 올라와 신랑 회사근처 영등포 에와서 어플로 들어가서 2시간정도 쉬면서 기다리려고 대실 예약을 하려고 찾아밨더니 11시부터 입실에 할인받아 일반실 18000원 하는 영등포 뉴신라 모텔에 갔다 카운터에 아줌마 한명 있었는데 이거저거 물어보려 말하니 자기는 그런거 모른다면서 18.000원짜리 방이 어딧냐며 되려 짜증섞인 말투로 대답하는데 나도 짜증이나더라여튼 방에들어와보니 들어가자마자 담배 찌든냄세와 더워서 그런지 에어컨을 켜도 찝찝한 느낌? 그리고 층간 소음도 있다 여긴 다시 안올것 같다	0
너무좋았어요 여름에 시원한에어컨 기본적으로있을거다있는곳 여기입니다	1
청결하고 정말 좋아요!!! 1층에 아이스크림이 있는데 진짜맛있네요 너무 좋아요	1
날씨가 너무 더워서 짐이라도 놓으려고 1시간정도 일찍갔는데 그냥 바로 들어가라고 해주시고 너무 친절하셨어요!	1
더운 날씨에 데이트 하다가 너무 더워서 사진보고 깔끔해 보여서 잠깐 쉬러 갔는데시설도 너무 깔끔하고 구비되어 있던 샴푸라던지 바디샤워 등등도 항상 신경쓰시는거 같았습니다!!!더운날씨에 편하게 쉴 수 있도록 해준 뉴신라에 감사드려용~^^	1
1층 카운터에 구비된 생수 아이스크림 커피등 아낌없이이용할수있어서 좋았습니다.	1
이제까지 가본데중에 이 가격 기준으로 제일 마음에 들었어요!!가성비 좋고 인테리어도 깔끔하고 화장실도 깔끔역에서 좀 더 걸어가야하는거랑 위치 좀 헤매는것만 빼면 아주 만족이에요다음에 또 쉬러올게요	1
들어가자마자 보이는 바닥의 물, 락스냄새 등 예약 확인 중 다른 분들 하수구냄새 컴플레인 전체적으로 청결 불량	0
깨끗하고 이불이포근해서 좋아요 위치도 좋고 로비가 개시원해서 밖에너무더웟는데 들어오자마자 시원해서 좋았어요 직원분도친절하시고 방도 가격대비 큰편이고 가성비 좋습니다요	1
항상 잘 이용하고 있는데 가끔 방에서 담배냄새가 나요 이용객 흡연 관리가 더 잘 되었으면 좋겠어요	1
편안하게 잘 쉬었다 갑니다. 매우 친절하시구 침구류.방.욕실 청결 맘에 들어여~~	1
생각보다 침대 커버가 깨끗하진 않았어요 나름 만족해요 청결한 편입니다	1
타임 스퀘어도 가까이 있어서 편하고 주변에 먹을곳도 많아서 좋았습니다	1
두번째 이용하는데 항상 친절하게 맞이해주셔서 좋아요온수도 잘나오고, 에어컨도 시원하게 잘나와서시원하게 잘쉬었다가요 ~~~	1
최근 갔던 곳 중 가장 마음에 들었어요깨끗하고 친절하셨습니다 잘 있다 갑니다	1
침실은 작은편이라 조금 답답하기도 했는데욕실이 깨끗하구 넓어서 좋았어요! 대체적으로 깔끔하고 청결한 상태라 만족합니다 :-)	1
비데있는곳은 처음 봤습니다 시설 정말 깨끗하고 깔끔합니다 좋아요	1
여러모로 훌륭한 숙소였습니다티비 프로가 가끔끊기는 현상말곤 다 좋았습니다.	1
깔끔하고 좋았습니다! 월드컵 보느라 갔었는데 화장실도 넓고 괜찮았어요	1
깔끔하고 못진 인테리어! 화장실엔 스파 할 수 있는 곳도 있어서 좋았어요!	1
방 정말 깨끗하고 컴퓨터도 빠르고 아이스크림 정말 맛있어요	1
자주이용합니다! 카운터 주인분들 완전 친절하셔요! 역에서 가깝고 쉬어야된다면 여기 추천이요!	1
단골입니다!! 늘 좋아요~단점 하나 꼽자면 화장실에 환풍기타고 담배냄새가 많이 올라와요 문 닫고 자야해요!	1
에어컨과 수건에서 약간의 냄새 났던것만 빼면 객실이 깔끔해서 좋았습니다! 카운터분도 친절하셔서 잘 쉬다 간 느낌입니다~ 다음에도 이용할께요~~!	1
전체적으로 깔끔하고 친절하고일단 인테리어랑 고데기있는게 가장 맘에 들어요	1
항상 깨끗하고 가격이 저렴합니다 물 잘 나오고 냉방 빵빵	1
두번째 방문합니다. 청결하고 시원하고 깔끔하고 친절하시고 다 좋아요또 올게요~	1
정말 숙소 좋았어요 ^#이전에 묵었던 호텔에서는 목욕탕에 비누 하나있었는데 여기는 씻을 수 있는 세트와 넓은 방이 마음에 들었습니다. 다음에 기회가 된다면 다시 묵을 생각이 있습니다 ^	1
시설이랑 청소상태 좋았어요!음식점 근처여서 음식냄새가 좀 났지만 그럭저럭 괜찮았습니다!	1
재방문 했는데 역시 깨끗하고 좋았습니다!근처가 번화가라 야식 사들고 가기도 좋고 역 근처라 가깝기도 하고 최고입니다~	1
에어컨 냉매가 다 떨어졌는지 시원한바람이 나오지 않았습니다. 에어컨 빼고는 다 좋았네요!	1
잘 쉬다 갑니다~ 침대는 조금 불편했는데 특실 깔끔하고 좋았어요	1
진짜 가성비좋구 청결하고 좋았어요~!! 다음번에 또 영등포갈일있으면 다시 예약할거같네요~^^	1
카운터 직원 분들도 친절하시고 내부시설까지 깔끔하고 청결상태도 좋아서 매우 만족했습니다 ~ 화장실도 깨끗하고 침대 매트 또한 깔끔했어요 ! 두 번째 방문이었는데 앞으로도 자주 이용 할 생각입니다 ! 이용하셔도 후회없으실 거예용	1
항상 가는 곳이지만 항상 만족합니다자주 방문하니 서비스로 객실도 올려주시고감사합니다	1
사장님도 굉장히친절하시고시설도 아주만족스러웠습니다 방도넓고 고데기도있고 티비도크고 또예약하러갑니다	1
매번 갈때마다 좋아요이번엔 바닥에 먼지가 별로 없어서 더 좋았어요	1
특실 이용했습니다 무엇보다 넓고 깔끔해서 너무 만족스러웠습니다큰 수건이 하나밖에 없었는데 일반수건이 많이 괜찮았습니다 만족만족	1
이번에 재방문을 했어요저번과 같이 무난히 이용하기 좋았고 직원분도 친절했습니다~	1
굉장히 자주 방문하는 곳인데방이 굉장히 넓고 좋습니다시설도 좋구요매우 추천합니다	1
일단 아주 깔금했구요 조명도 맘에 들었습니다~ 재방문 할 것 같아요~	1
가격에비해 시설도 엄청좋고 깔끔하네요. 나중에 영등포에서 자게되면 또 여기로올거같아요	1
자주 방문하는데 침구류가 넘 지져분했어여~신경 써 주시면 좋겠습니다.	1
2번째 간건데 역시 좋네요영등포에서는 여기가 제일 좋은거같아요	1
여의도 가서 재밌게 놀고 유람선도 타고 발도 아프고 너무 피곤하여 시간은 별로 없었지만 그래도 1시간 남짓 1시간 이어도 여기어때로 예약하고 방문하게 되었습니다 그런데 남자분은 주차도 해 주시고 체크아웃 대도 친절하게 전화 받으며 차 시동도 미리 걸어 주셨는데 여자 직원 분께서는 저희가 들어올 때 인상을 쓰면서 방 안내와 시간을 알려 주셨고 털실 때도 인상을 쓰면서 돼 해 주시더군요 인사하는 소리도 못 들었습니다 이건 뭐 다음에 여의도 오게 된다면 다시는 들리고 싶지 않은 곳이네요 1시간을 있던 2시간을 있던 친절하게 웃으면서 그렇게 손님을 받으면은 아 직원분이 친절 하시는구나 객실도 마음에 드는구나 다음에 또 와야겠다 라고 생각하지 않을까요? 그리고 객실에 들어갔더니 에어컨도 켜져 있더군요 리모콘으로 껐지만 자동으로 다시 에어컨이 켜지고 정말 난감했습니다 담배 냄새도 심했구요 하여간 그래도 객실도 깨끗하고 정말 기분 좋은 마음으로 쉬었다 가려는데 여자 직원분 인상을 팍팍 쓰면서 대해 주시더군요 객실이 아무리 좋고 서비스가 아무리 좋아도 직원의 얼굴은 가게 얼굴이라고 했습니다 저희가 앱으로 결제하거나 1시간 남짓 이용하기 때문에 프론트에서 결제를 안 했기 때문에 그런 거라고 생각할 수밖에 없네요 아무튼 이야기가 길었네요 이 후기를 보신다고 하면은 앞으로는 다른 손님들께 보다 웃는 얼굴로 대해 주셨으면 좋겠습니다 수고하세요	0
나쁘지 않았습니다. 음료수도 많고 아이스크림도 먹을수있어서 좋았네요. 티비 액정이 조금 깨진건 아쉬웠습니다	1
컴퓨터가 안되네요.. 그래도 나머지 시설와 서비스는 만족합니다~~ 잘쉬다가요:-)	1
중심부에 위치해있어 먹거리나 즐길거리가 많네요...주차는 빡빡해서 잘하셔야 할 듯~~^^	1
청결하고 친절하시구 편안하게 잘쉬었다 갑니다.매우 만족해요~~굿	1
비와서 그런지 복도에 냄새가 살짝 났지만 실내 매우 깨끗하고 사장님 너무 친절합니다.침대 푹신하고 하루 쉬고가기 너무 좋습니다.	1
시설 좋구 층간 방음이 조금 안되는거 빼구 조용하구 좋았어요!이불도 푹신푹신했구요! 위치도 괜찮구 가격도 적당하구 잘 쉬다갑니다~~	1
드라이기 옆에 머리카락 긴거 여러가닥, 원래 예약 했던방 정비 안되서 다른 방 배정, 6시 예약인데 15분 정도 여유있게 갔더니 6시 예약인데 늦게 왔네 어쩌구 혼자 궁시렁 하는 카운터 여자.. 들으라는건가요? 영등포에 다른곳 가다가 간만에 재방문 인데 별로	0
좋아요 깔끔하고 하루지나기 좋습니다 폰충전하려고 하는데 콘센트가 별로 없고 콘센트가 안되서 아쉬웠습니다	1
좋았습니다. 근처 중국집 배달음식도 맛있었고 추천드립니다~	1
신축호텔이라 그런지 모던한 인테리어와 깨끗한 시설.청결함과 훌륭한 서비스 모두 만족합니다.카운터 앞 비치되어있는 음료수와 커피 잘마셨습니다.자주 이용하고 싶네요.	1
객실 청소 깨끗하고침대 수건 욕실 좋아요일반실이어서 약간 좁은 느낌은 들지만 방음도 잘되어서 잘 있다 갑니다굿!	1
찾기에도 너무 쉽고새 건물이라 외관도 깔끔하고내부도 깔끔했어요~특실이용했는데 간이 테이블도 있어편리했네요! 침구류의 경우 자다보면 이불커버랑 솜이랑 분리되어서 불편한곳들도 있는데여기는 뽀송뽀송하니 쾌적해서 편안하게쉴수있었던거같아요! 여러모로 좋았던 뉴신라입니다^^	1
티비가 안나와서 방겼는데뒤늦게 컴퓨터가 안되는걸 알아서..만실이라 컴터 교체도 안된다며..짜증...	0
청소 깨끗하고 가격대비 굿!직원 친절하고요음료랑 아이스크림 양껏 먹어도 돼요잘 쉬다갑니다^^	1
이번에도역시대만족 부족한거말씀드리니 바로바로 서비스주시고 못듣고올라가니 바로가져다주셨어영 너무좋아요 담주에또가요 그것도 연달아!!!	1
직원분 친절하고요. 시설 깔끔합니다. 다음에 또 이용하고 싶은 숙소예요	1
가보니깐 전에 우연히 갔던곳이네요.... 또 가고싶었는데 이름을 몰라서 못 찾아가고 있었는데... 영등포에서 갠찮은곳입니다	1
새로생긴 호텔인건 알았지만 드디어 처음 입실해봅니다.신축이라 그런지 너무 깨끗합니다.청소상태 좋습니다.직원분들 친절합니다.먹자골목 초입이라 먹을데가 너무나 많습니다.입실시간, 퇴실시간 만족스럽습니다.영등포에 가면 항시 가는 호텔이 몇군데 있었는데 뉴신라가 치고 올라갑니다.하늘에서 가성비가 내려옵니다.좋습니다.	1
시설도 깨끗하고 담배냄새도 하나도 안나고 욕조도 너무 깨끗해서 놀랐어요! 인테리어도 이쁜것같아요	1
시설이 깨끗하고 잘 정리가 되어있어요좀 좁은 면이 있지만 가격대비 이 정도면 굿!	1
오랫만에 다시이용했는데깨끗하고 좋내요근데전침대가좀너무딱딱하더라고요밤새잠을잘못잤어요그외엔 화장실도깨끗하고 다좋내요	1
자주 방문합니다. 영등포역근처로 시설 굿 거리굿 1따봉드립니다.	1
방도 넓고 욕실도 크고 물도 잘나와서 좋았어요.모텔 특유의냄새만 안난다면 더 좋았을거 같아요. 그리고 욕실 환풍기가 담배연기를 잘 못빨아들여서 냄새도 잘 안빠져서 아쉬웠어요	1
매우 청결하구요. 칫솔 치약같은 일회용 세면도구는 따로 구매하셔야 한다고 해요. 다른 시설은 매우 좋구요. 가격대비 정말 좋은 곳인 것 같아요!!	1
인테리어 좋고 청결하고 응대도 친절하십니다고민 없이 별 다섯 개^^	1
특실이어도 일반실과 크게 다른건 없었어요. 시간이 다 안되어도 퇴실 재촉전화를 많이해요.	1
일반실예약했는데 특실을주셔서 너무 잘쉬었다가요 교통도좋고 청결합니다	1
깨끗해서 항상 이용합니다 직원들도 친절하고 교통도 편해서 좋아요	1
영등포는 여기가 굳입니다. 서비스도 잘해주셨고, 분명 손님이 계셨을텐데 방음이 잘되는건지 조용하게 잘쉬다왔어요. 시설도 괜찮고 딱히 부족하다고 생각되는부분은 없었네요. 출장오면 여기만 가게됩니다.	1
잘 쉬다 갑니다!평일에다가 쿠폰적용하니 저렴한데훌륭한방에서 쉬다갑니다	1
매주 출장올때마다 사용하는데 편안하고 깨끗해서 자주이용합니다. 영등포에서는 제일 추천하고픈	1
오늘도 편하게 잘쉬다 갑니다.오늘은 어제보다 밖이 시끄럽더라고요노래도 크게 틀어놓고잘시간엔 조용했어요.어제가 더 조용한방이긴 했던것 같아요	1
출장 때문에 자주 오는데 깨끗하고 좋아요화장실도 깨끗하고 자주 올께요	1
출장 때문에 자주 오는데 깨끗하고 좋아요화장실도 깨끗하고 자주 올께요	1
깔끔하고 조용하고 아주 좋습니다 카운터에 있는 분도 매우 친절해여 또 갈거에여	1
1.시설 : 완전 깨끗합니다. 사진과 같습니다2.화장실물 : 따뜻하고 잘나오고 잘내려갑니다3. 직원분 : 두분봤는데 다 친절하십니다4. 방음 :가끔 밖에서 광인들이 돌아다녀서 소리들릴때가 있는데 지극히 작아요. 거의 안들릴정도.자는데 아무 지장없이 푹잤네요.5.입실 : 아침에 4시반에 일어나서 지방에서 인천까지 간건데 일정끝나고 일찍 도착했는데도 체크인할 수 있었어요.감사합니다영등포 먹골쪽이라 엄청시끄러울줄 알았는데 조용히 잘잤습니다.이번주 내내 인천교육이라 교통편리하고 지인많은 영등포에 잡았는데 아주 좋네요계속 이용할 의사 있습니다.강추입니다.	1
시설도 깔끔하고 침대도 엄청 편햇어요!편히쉬다가요~~ 다음에 또 올게용	1
일단 프론트에 사모님도 친절하시고 방도 따뜻해서 잘 묵다가 갑니다 전체적으로 방도 깔끔한데다 뭣보다 화장실이 청결하네요 번창하실께에요	1
편안하게 잘 있다 갑니다^^다음에도 또 이용하고 싶네요 잠도 잘오고 조용하고 좋앗읍다	1
친절했고 괜찮았어요  다만 대실4시간으로 써잇는데  업체쪽에서는3시간이라고하는데  수정하셔야할꺼같아요	1
청결하고 깨끗해서 종종 이용하고 있습니다. 잔원분들도 친절하고요 최고에요	1
지리적 위치가 조금 아쉬울뿐 여러가지가 모두 좋았어요직원분들도 친절하고 방도 깨끗한 편이라 사용하기에 좋았네요	1
1.너무 좋고 시설도 완벽했어요2.번화가 근처라 접근성이 좋아요3.컴퓨터가 있어서 같이 유튜브 보면서 놀았어요	1
카운터에 있는 분도 친절하고 방도 아주 깔끔해요 항상 애용하는 곳입니다	1
특실 이용했는데 욕실 구조가 잘못되어 물이 다 샙니다. 특히 욕조 물이 넘쳐 객실이 물바다가 되어서 프론트에 연락했더니 물이 침대까지 간거 아니냐며 오히려 짜증스런 말투로 응대하더군요.어쩌다보니 물바다가 된 객실 바닥을 닦으며 청소하게 됐는데 바닥에 머리카락에 청결도 별로였습니다.퇴실시 보니 아주머니 계속 화난 얼굴로 일하시는;;;저 또한 불쾌했습니다.후기가 좋아 이용했는데 큰 실망입니다.다시 갈 곳은 아니네요	0
가격대비 진짜 좋은거같아용 영등포 갈때마다 이용하겠습니당	1
깨끗하고 깔끔해서 좋았습니다. 덧붙여서 여기만의 특징적인 인테리어로는 거울이 많아 이색적인 느낌을 받았습니다. 침대에 누웠을 때 맞은편 천장에도 거울이 있습니다. 수건도 넉넉히 주고 발깔개 수건도 따로 있네요.	1
갑자기 날이 추워졌는데도 불구하고 방이 따뜻해서 너무 좋았어요!	1
항상 노력하는모습이 보이고 친절하십니다.영등포역 근처 추천 쉴곳!	1
시설이나 화장실 모두 깔끔했고 직원분들도 친절하셨습니다~! 샴푸나 바디워시 바디로션들도 향기 괜찮고 쓸만했던것같아요 그래서 치약칫솔만 들고가면 나머지 일회용품은 필요없을것같아요!	1
시설 좋고 방도 크고요수압이 세서 좋아요다음에 또 오겠습니다	1
오늘은 프론트에 젊은 남자분이시네요...친철하십니다~~^^여전히 붐비는 곳입니다.	1
깨끗하고 좋아요.친절하고요.그런데 식탁이 없네요.책상 같은 것은 있는데요.그래도 좋네요	1
항상 가는곳 이지만 정말 가도가도 세심하게 신경쓰는게 보입니다.일단 가보면 진국인거 압니다.	1
시설은 인근 모텔 중 최고라고 생각해요 교통도 편하고 덕분에 한강밤도깨비 야시장 잘 놀다갑니다	1
시설 좋아요. 카운터 아줌마는 그닥 친절하지 않아요. 퇴실시간 압박했고, 나가지 않았는데 청소아줌마 들어와서 놀랐어요	1
리모델링 이후 관리도 잘되고있고 이용은 몇번했지만 음료등 서비도 좋아요...앞으로도 관리 잘해주세요^^	1
직원분 친절하시고 시설도 깨끗한 편입니다.다만 컴퓨터가 말썽을 ^^;;	1
숙소도 깔끔하고 카운터도 친절했어요~ 나무랄 곳 없는 숙소입니다!	1
위치 찾기가 조금 애매했지만 시설은 좋았어요 따뜻했구요~	1
사진처럼 깔끔하고 세련된 인테리어가 인상적이었고 무엇보다 조용하여 편히 잘 쉴수 있었습니다	1
굿굿 카운터아저씨 처음이라하셧는데 엄청친절하고 방도 아담하고 깨끗해요	1
방음도 잘되고 제가 잠자리에 민감해서 모텔에서 잠을 잘 못자는데 여기는 진짜 편하게잘잤습니다 다음에도 여기서 머무르려구요	1
깨끗하고 방도 넓고 사장님이 너무 친절하셔서 또 오고싶네요 존좋!!	1
너무 깨끗하고 이뻐서 좋았습니다^^시간도 길어서 푹쉬다가 나왔어요냉 난방도 잘되서 비오는 날이었는데도 그때그때 냉방 난방 틀어가며 있었습니다!!앞으로도 자주 이용할께욥!!	1
사장님께서 좀 기다리게 했다고 필수용품도 공짜로 주시고 다른 모텔같은대는 담배 남새도 많이 나는데 여기는 깔끔하고 서비스도 좋았어요~	1
시설 깔끔하고 프론트 친절했습니다~방도 넓고 좋네요 다음에 영등포 올일 있으면 다시 방문할게요^ 번창하세요	1
시설도 괜찬구 사장님도 친절하시구 샤워기물 수압이 정말 괜찬네요.그리고 깨끗하구 좋았습니다.	1
냄새도 안나고 깨끗합니다! 위치도 젛아서 충분히 놀다들어와도 되서 좋았어요!	1
시설도 깨끗하고 먹을꺼리도 많고 좋아요. 다음에도 이용해야겠네요.^^	1
처음 이용했는데 생각보다 더 좋아요~~!!다음에 또 이용하고싶네요 직원분도 착하시고시설도 전반적으로 다 괜찮고 마음에 들어요 ^^	1
청결상태 좋았고 담배냄새 없어서 마음에 들었어요 그리고 로비에 여러 음료랑 아이스크림이 있어서 아주 마음에 들었어요!!	1
편한하게 잘쉬었다 갑니다.넘 청결하구 친절하시구 최고입니당~	1
저번에 이용하고 좋았어서 이번에 또 이용했어요. 난방을 엄청 따끈따끈하게 틀어주셔서 조금 더웠어요! 그래서 창문 좀 열었었어요. 그점 말고는 이번에도 만족스러웠습다. :)	1
깔끔, 청결 좋은 분위기 정말 좋은 서비스 간식거리도 정말 많아서 진짜루 만족 대만족합니다 분위기가 너무 좋아 여행온 것 만 같았어요	1
시설 , 청결도 모두 좋아요. 아쉬운점은 방크기가 좀 작다는거 .. 잘쉬고 갑니다.	1
방은 작았으나 안락함을 주기에 충분했고 무엇보다 청결상태 및 로비에 음료무료제공이 너무좋았어요주변 먹거리도 많아서 좋았습니다.제점수는요....98점 드리겠습니다.	1
친절하고 시설도 좋았어요! 다만 잘 안 와본 곳이라 저는 조금 찾는데 시간이 걸렸어요. :( 예약 시간에 맞춰서 미리 난로같은것도 틀어져있고 배려가 느껴졌어요! 또 이용할게요 :)	1
사진보다 더 잘 되어있는 곳은 처음인 것 같아요. 전체적으로 전부 다 마음에 들었던 곳은 별로 없었는데 여긴 정말 다 괜찮네요 다음에도 갈께요~~	1
얼리버드로 다녀왔는데 객실 상태도 좋고 무엇보다 담배 냄새 나는 곳이 많은데 여기는 안그래서 좋았어요~~ 잘 쉬다 갑니다 ^^	1
깨끗하고 리모델링 해서 거의 완벽에 가까웠어요 여기어때 통해 가니 더 좋았구요	1
할인 쿠폰이 있어서 이번엔 특실로 예약 했는데 좋네요~스파있는 방 원해서 바꿔달라고 말씀 드리니 친절하게 바꿔 주셨어요또 이용 할 의향 있습니다!	1
근처 다른 곳에 비하면 객실상태도 제일 괜찮고 깨끗하고 방도 따뜻하고 좋아요~~영등포 오면 가급적이면 여기 이용하려고 해요~~~♡	1
